Participant,Attendance time,Camera time,Mic time,Time speaking,Time presenting,Hands raised,Emojis sent,Messages sent
ca37c192f9f7539369cd549189760345543f168d828f33f85f4799745a41e45a,03:01:11,01:19:37,00:00:07,00:00:00,00:00:00,0,81,1
2b2a60f6e5485123c6c8aa012d76f76187489ddd5d003a82d627986f4c928125,00:17:04,00:19:30,00:10:54,00:02:05,00:00:00,0,7,2
ad6acd323806e30ca6a37ad2cb78f28493addc17339ef246b2934e18a7765b07,02:46:09,00:48:51,00:01:40,00:00:38,00:00:00,0,64,4
4b11afc7fc6458effe203e924722e2863e66f4fe0b1ba20b41d68e3328415800,03:02:01,02:25:46,00:03:43,00:00:10,00:00:00,1,5,4
daed0aa5ffdee628ae24991b2c984f66ac26a172f830bb0b12ed5d9dacb0d2a2,03:06:13,03:00:14,00:47:11,00:37:19,00:00:00,1,40,6
d59df35ac8cca9741c7d14751827a93372178571f12e725a4d11d3452463a502,02:25:50,02:29:11,00:00:00,00:00:00,00:00:00,0,2,0
2b2a60f6e5485123c6c8aa012d76f76187489ddd5d003a82d627986f4c928125,03:09:11,02:09:52,00:14:37,00:11:05,00:00:00,4,122,31
939065eece719c2e24382f347e0395ab9aa3f4933249c3b2ad1a1fa7027a91be,03:04:13,02:49:53,00:03:44,00:02:54,00:00:00,0,35,0
edab98fbc0a76faf6231492eccd3cac4779cdce812248f4147136a9d51c281b6,03:06:43,03:05:43,00:07:25,00:03:30,00:00:00,2,97,86
92a66ccdd2dc048646b940702877736fa5941c6eafee717b3ff480cabb9ab3f4,03:03:30,01:33:02,00:27:30,00:00:32,00:00:00,0,35,7
8e59bee15978f8c0a1d9a9d82802b2be19083c373454fd44681f83c5524c2b35,03:01:24,00:00:00,00:00:00,00:00:00,00:00:00,1,25,2
cbb84bc2fe8d064e85a7b92507d3e1087847c3320c007173f98e6a3fed9bc570,03:03:41,02:49:03,00:11:47,00:06:11,00:00:00,2,72,27
04b90521e23b6a5589c7f55c86a71a3fe223dd4631ea51fac7d42ec3ffb561f6,03:05:51,02:49:57,02:53:25,02:29:37,02:27:50,0,1,0
ba3138325b35c4d45f2a9ece725128f7b9f88df5c4828e0635447b84c5d51e7b,03:06:07,02:50:00,00:04:33,00:04:05,00:00:00,2,160,23
47a7c412c0ede005f50d7fcf7c9207e69e53f2045d81c793edad4b893693202a,03:02:23,01:32:32,03:04:20,00:00:00,00:00:00,0,38,4
5c42c56b65dbc3ef6676cd3cb68accb47c45ee9b25ce5480bd255422d673da0f,03:04:02,03:00:02,00:00:00,00:00:00,00:00:00,0,0,0
71ebcb21b682814489a1c1ca431691e9c0c38a28ebeecec2eec5e6e3d75b554b,03:01:01,03:04:11,00:00:00,00:00:00,00:00:00,0,61,5
6d26619b6b29eaeba89901c3aac888cec5093965f5fcaf3420d9f0038024c29f,03:01:03,01:13:00,00:00:00,00:00:00,00:00:00,0,112,4
3c24c973491a4900c95f36a53c7e70a52c48a08e706edab9eaa8ab7911af7b39,03:02:03,01:31:34,00:00:00,00:00:00,00:00:00,0,0,1
365bea1e0e58d1dd2124f6156f41cf26bde7babc74cbeaf8936f7fecc65ae654,02:59:44,01:21:23,00:00:00,00:00:00,00:00:00,0,6,0
f5e39c38b5d7ae57a67a4e533d1c3fbadcbddae039868a0c222dd0be50cf8560,03:02:49,02:51:59,00:00:00,00:00:00,00:00:00,0,9,1
86542b003e830186a9f5a8ce2f147bfecf7ba00c73e89747924abb431c4807ef,02:59:53,01:07:14,00:00:02,00:00:01,00:00:00,0,0,0
a73035ba29e279c7dd54a959055e0ddafacb294addf8dfe8fdf5ac0118550f6d,03:01:40,02:42:48,00:00:07,00:00:06,00:00:00,1,11,3
dba68f39815752c5ce8ed9ed8740d520ad5b1fd9640f8d95c377170d0fef76e8,01:53:53,01:35:27,00:24:43,00:03:19,00:02:20,2,10,2
2d737c12904c8a1890cfb106c74c02684317184d8dff3fbe83324bc1d21d438d,02:52:51,01:32:57,00:01:20,00:00:00,00:00:00,0,3,2
6b1335aa7b237370369cd619a67b4695844f97bc1f42bec8b7771615fe6d4d74,03:01:02,02:53:46,00:00:00,00:00:00,00:00:00,0,37,5
